numerical__Age,numerical__NumberOfDependents,numerical__MonthlyIncome,numerical__AnnualIncome,numerical__Experience,numerical__JobTenure,numerical__CreditScore,numerical__NumberOfOpenCreditLines,numerical__LoanAmount,numerical__LoanDuration,numerical__InterestRate,numerical__MonthlyDebtPayments,numerical__MonthlyLoanPayment,numerical__DebtToIncomeRatio,numerical__LoanToIncomeRatio,numerical__DisposableIncome,numerical__LoanPaymentToIncomeRatio,categorical__EducationLevel_Associate,categorical__EducationLevel_Bachelor,categorical__EducationLevel_Doctorate,categorical__EducationLevel_High School,categorical__EducationLevel_Master,categorical__EmploymentStatus_Employed,categorical__EmploymentStatus_Self-Employed,categorical__EmploymentStatus_Unemployed,categorical__MaritalStatus_Divorced,categorical__MaritalStatus_Married,categorical__MaritalStatus_Single,categorical__MaritalStatus_Widowed,categorical__LoanPurpose_Auto,categorical__LoanPurpose_Debt Consolidation,categorical__LoanPurpose_Education,categorical__LoanPurpose_Home,categorical__LoanPurpose_Other,LoanApproved
50.0,3.0,2866.833333333333,34402.0,27.0,6.0,504.0,4.0,16368.0,36.0,0.2581360379837399,210.0,657.8527313900901,0.4311621691771142,0.47578629149468055,2656.833333333333,0.22947016966109765,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
39.0,0.0,4296.75,51561.0,15.0,6.0,612.0,2.0,24926.0,84.0,0.2579864337286586,628.0,643.701401579509,0.6233058798609714,0.4834273966757821,3668.75,0.14981122978518857,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
23.0,3.0,9958.083333333334,119497.0,0.0,5.0,440.0,1.0,28380.0,96.0,0.3209334438067862,296.0,824.436576204223,0.2720587423082262,0.2374955019791292,9662.083333333334,0.08279068859009578,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
38.0,0.0,2368.75,28425.0,16.0,8.0,616.0,3.0,9736.0,72.0,0.2363201131509115,289.0,254.1474886028816,0.2322302367957056,0.34251539138082676,2079.75,0.10729181576902654,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,0.0,4651.75,55821.0,23.0,2.0,596.0,2.0,33557.0,48.0,0.24200840989659,438.0,1097.7490301817547,0.2521333630482892,0.6011536876802637,4213.75,0.23598624822523884,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
35.0,1.0,2754.9166666666665,33059.0,12.0,3.0,547.0,4.0,15333.0,12.0,0.2042528526235078,696.0,1423.4876268704086,0.16292273042587,0.4638071327021386,2058.9166666666665,0.5167080529491184,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
18.0,0.0,4401.583333333333,52819.0,0.0,5.0,532.0,4.0,21737.0,36.0,0.224805010369927,419.0,835.5589507776576,0.053052100095283,0.4115375149094076,3982.583333333333,0.18983145098036489,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
41.0,2.0,11397.333333333334,136768.0,20.0,3.0,554.0,4.0,47306.0,60.0,0.236174311297669,329.0,1350.4130600734634,0.101306909519868,0.3458850023397286,11068.333333333334,0.1184850017612421,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
46.0,0.0,2680.5,32166.0,21.0,7.0,457.0,3.0,21413.0,36.0,0.2381968329489951,182.0,838.0671070766815,0.5107417280501185,0.6657029161226139,2498.5,0.3126532762830373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
37.0,2.0,4529.0,54348.0,14.0,5.0,544.0,2.0,22597.0,36.0,0.2403366824804063,389.0,886.9442824081768,0.038473697311807,0.41578346949289763,4140.0,0.19583667087837864,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
52.0,0.0,2297.0,27564.0,30.0,1.0,611.0,4.0,25693.0,60.0,0.2303117058281305,305.0,724.7579763390685,0.4650979507364455,0.9321216078943549,1992.0,0.3155237162991156,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
56.0,0.0,7047.25,84567.0,34.0,6.0,507.0,2.0,39411.0,84.0,0.2928036685077683,95.0,1107.8695748364262,0.2093080661488222,0.46603284969314274,6952.25,0.15720594201091578,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
44.0,3.0,2893.833333333333,34726.0,23.0,7.0,536.0,2.0,20004.0,96.0,0.2555187651232516,1544.0,490.8946409127608,0.1271760024635541,0.5760525254852272,1349.833333333333,0.16963473164064766,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
18.0,2.0,4946.416666666667,59357.0,0.0,5.0,553.0,5.0,50497.0,36.0,0.2373093928469282,751.0,1974.0145800058744,0.2474114694351134,0.8507336961099786,4195.416666666667,0.399079720337458,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.0,2233.5,26802.0,12.0,6.0,655.0,3.0,44637.0,96.0,0.2554967131302624,445.0,1095.318443158459,0.2878275435073988,1.6654354152675173,1788.5,0.49040449660105623,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
18.0,0.0,4903.166666666667,58838.0,0.0,3.0,544.0,2.0,17802.0,60.0,0.2353828641562367,404.0,507.3676038632441,0.3811700098960022,0.302559570345695,4499.166666666667,0.10347753571431606,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
26.0,0.0,3923.0833333333335,47077.0,5.0,3.0,438.0,3.0,22692.0,60.0,0.3444384785248107,440.0,797.2843474314536,0.4855135452146795,0.4820188202306859,3483.0833333333335,0.20322901138937152,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
